Title,genres,director,actors
insidious: the last key,"['Horror', 'Thriller']",['Adam Robitel '],"['Lin Shaye', 'Angus Sampson', 'Leigh Whannell']"
the strange ones,"['Drama', 'Mystery']","['Christopher Radcliff ', ' Lauren Wolkstein ']","['Alex Pettyfer', 'James Freedson-Jackson', 'Emily Althaus']"
the commuter,"['Action', 'Thriller', 'Mystery']",['Jaume Collet-Serra '],"['Liam Neeson', 'Vera Farmiga', 'Patrick Wilson']"
proud mary,"['Thriller', 'Action', 'Crime']",['Babak Najafi '],"['Taraji P. Henson', ""Jahi Di'Allo Winston"", 'Billy Brown']"
acts of violence,"['Action', 'Crime', 'Thriller']",['Brett Donowho '],"['Bruce Willis', 'Cole Hauser', 'Shawn Ashmore']"
freak show,"['Comedy', 'Drama']",['Trudie Styler '],"['Alex Lawther', 'Abigail Breslin', 'AnnaSophia Robb']"
humor me,['Comedy'],['Sam Hoffman '],"['Jemaine Clement', 'Elliott Gould', 'Ingrid Michaelson']"
12 strong,"['War', 'Drama', 'Action', 'History']",['Nicolai Fuglsig '],"['Chris Hemsworth', 'Michael Shannon', 'Michael Peña']"
den of thieves,"['Action', 'Crime', 'Thriller']",['Christian Gudegast '],"['Gerard Butler', 'Pablo Schreiber', ""O'Shea Jackson Jr.""]"
forever my girl,"['Romance', 'Drama', 'Music']",['Bethany Ashton Wolf '],"['Alex Roe', 'Jessica Rothe', 'John Benjamin Hickey']"
thane of east county,"['Drama', 'Thriller']",['Jesse Keller '],"['Carr Cavender', 'Molly Beucher', 'Connor Sullivan']"
maze runner: the death cure,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['Wes Ball '],"[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']"
please stand by,"['Comedy', 'Drama']",['Ben Lewin '],"['Dakota Fanning', 'Toni Collette', 'Alice Eve']"
winchester,"['Horror', 'Thriller']",['The Spierig Brothers '],"['Helen Mirren', 'Jason Clarke', 'Sarah Snook']"
a fantastic woman,['Drama'],['n Lelio '],"['Daniela Vega', 'Francisco Reyes Morandé']"
armed,"['Action', 'Thriller']",['Mario Van Peebles '],"['Mario Van Peebles', 'Ryan Guzman', 'Columbus Short']"
the cloverfield paradox,"['Horror', 'Science Fiction', 'Thriller']",['Julius Onah '],"['Gugu Mbatha-Raw', 'Elizabeth Debicki', 'Aksel Hennie']"
bad apples,['Comedy'],['Bryan Coyne '],"['Brea Grant', 'Graham Skipper', 'Aly Fitzgerald']"
peter rabbit,"['Animation', 'Adventure', 'Family']",['Will Gluck '],"['Rose Byrne', 'Domhnall Gleeson', 'Sam Neill']"
pad man,"['Comedy', 'Drama']",[' Balki '],"['Akshay Kumar', 'Radhika Apte']"
fifty shades freed,"['Drama', 'Romance']",['James Foley '],"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']"
the 15:17 to paris,"['Drama', 'Thriller']",['Clint Eastwood '],"['Anthony Sadler', 'Alek Skarlatos', 'Spencer Stone']"
permission,"['Comedy', 'Romance', 'Drama']",['Brian Crano '],"['Rebecca Hall', 'Dan Stevens', 'Gina Gershon']"
golden exits,['Drama'],['Alex Ross Perry '],"['Emily Browning', 'Adam Horowitz', 'Mary-Louise Parker']"
black panther,"['Action', 'Adventure', 'Science Fiction']",['Ryan Coogler '],"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]"
nostalgia,['Drama'],['Mark Pellington '],"['Jon Hamm', 'Catherine Keener', 'John Ortiz']"
samson,"['Action', 'Drama', 'Adventure']",['Bruce Macdonald '],"['Taylor James', 'Jackson Rathbone', 'Billy Zane']"
game night,"['Mystery', 'Comedy', 'Crime']",[' Jonathan Goldstein '],"['Jason Bateman', 'Rachel McAdams', 'Billy Magnussen']"
annihilation,"['Science Fiction', 'Horror']",['Alex Garland '],"['Natalie Portman', 'Jennifer Jason Leigh', 'Gina Rodriguez']"
every day,"['Romance', 'Fantasy']",['Michael Sucsy '],"['Angourie Rice', 'Justice Smith', 'Debby Ryan']"
the cured,"['Horror', 'Drama', 'Science Fiction']",['David Freyne '],"['Ellen Page', 'Sam Keeley', 'Tom Vaughan-Lawlor']"
red sparrow,"['Thriller', 'Mystery']",['Francis Lawrence '],"['Jennifer Lawrence', 'Joel Edgerton', 'Matthias Schoenaerts']"
death wish,"['Action', 'Crime', 'Thriller']",['Eli Roth '],"['Bruce Willis', ""Vincent D'Onofrio"", 'Elisabeth Shue']"
the vanishing of sidney hall,"['Drama', 'Mystery', 'Romance']",['Shawn Christensen '],"['Logan Lerman', 'Elle Fanning', 'Michelle Monaghan']"
pickings,"['Thriller', 'Action', 'Crime', 'Drama', 'Mystery']",['Usher Morgan '],"['Elyse Price', 'Katie Vincent', 'Joel Bernard']"
a wrinkle in time,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",['Ava DuVernay '],"['Storm Reid', 'Oprah Winfrey', 'Reese Witherspoon']"
gringo,"['Comedy', 'Action', 'Crime']",['Nash Edgerton '],"['David Oyelowo', 'Charlize Theron', 'Joel Edgerton']"
thoroughbreds,"['Drama', 'Thriller']",['Cory Finley '],"['Olivia Cooke', 'Anya Taylor-Joy', 'Anton Yelchin']"
the strangers: prey at night,"['Horror', 'Thriller']",['Johannes Roberts '],"['Christina Hendricks', 'Martin Henderson', 'Bailee Madison']"
the hurricane heist,"['Action', 'Adventure', 'Crime', 'Thriller']",['Rob Cohen '],"['Toby Kebbell', 'Maggie Grace', 'Ryan Kwanten']"
tomb raider,"['Action', 'Adventure', 'Fantasy']",['Roar Uthaug '],"['Alicia Vikander', 'Dominic West', 'Walton Goggins']"
"love, simon","['Comedy', 'Drama', 'Romance']",['Greg Berlanti '],"['Nick Robinson', 'Josh Duhamel', 'Jennifer Garner']"
i can only imagine,"['Music', 'Drama']",['Erwin brothers '],"['J. Michael Finley', 'Madeline Carroll', 'Trace Adkins']"
entebbe,"['Thriller', 'Drama', 'Crime']",[' Padilha '],"['Rosamund Pike', 'Daniel Brühl', 'Eddie Marsan']"
furlough,['Comedy'],['Laurie Collyer '],"['Tessa Thompson', 'Melissa Leo', 'Whoopi Goldberg']"
josie,"['Thriller', 'Drama']",['Eric England '],"['Sophie Turner', 'Dylan McDermott', 'Jack Kilmer']"
flower,"['Comedy', 'Drama']",['Max Winkler '],"['Zoey Deutch', 'Kathryn Hahn', 'Tim Heidecker']"
pacific rim uprising,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",[' DeKnight '],"['John Boyega', 'Scott Eastwood', 'Jing Tian']"
isle of dogs,"['Adventure', 'Comedy', 'Animation']",['Wes Anderson '],"['Bryan Cranston', 'Koyu Rankin', 'Edward Norton']"
sherlock gnomes,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure', 'Mystery']",['John Stevenson '],"['James McAvoy', 'Emily Blunt', 'Chiwetel Ejiofor']"
unsane,"['Horror', 'Thriller']",['Steven Soderbergh '],"['Claire Foy', 'Joshua Leonard', 'Jay Pharoah']"
"paul, apostle of christ",['Drama'],['Andrew Hyatt '],"['Jim Caviezel', 'Olivier Martinez', 'James Faulkner']"
final portrait,"['History', 'Drama']",['Stanley Tucci '],"['Geoffrey Rush', 'Armie Hammer', 'Clémence Poésy']"
midnight sun,"['Romance', 'Drama']",['Scott Speer '],"['Bella Thorne', 'Patrick Schwarzenegger', 'Rob Riggle']"
ready player one,"['Adventure', 'Action', 'Science Fiction']",['Steven Spielberg '],"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn']"
acrimony,"['Drama', 'Thriller']",['Tyler Perry '],"['Taraji P. Henson', 'Lyriq Bent', 'Crystle Stewart']"
god's not dead: a light in darkness,['Drama'],['Michael Mason '],"['David A. R. White', 'John Corbett', 'Shane Harper']"
gemini,"['Mystery', 'Crime', 'Drama', 'Thriller']",['Aaron Katz '],"['Lola Kirke', 'Zoë Kravitz', 'Greta Lee']"
the last movie star,['Drama'],['Adam Rifkin '],"['Burt Reynolds', 'Ariel Winter', 'Clark Duke']"
escape room,"['Horror', 'Thriller', 'Mystery']",['Adam Robitel '],"['Taylor Russell', 'Logan Miller', 'Deborah Ann Woll']"
rust creek,"['Thriller', 'Drama', 'Action', 'Crime']",['Jen McGowan '],"['Hermione Corfield', 'Jay Paulson', ""Sean O'Bryan""]"
american hangman,['Thriller'],['Wilson Coneybeare '],"['Donald Sutherland', 'Vincent Kartheiser', 'Oliver Dennis']"
a dog's way home,"['Drama', 'Adventure', 'Family']",['Charles Martin Smith '],"['Bryce Dallas Howard', 'Edward James Olmos', 'Alexandra Shipp']"
the upside,"['Comedy', 'Drama']",['Neil Burger '],"['Bryan Cranston', 'Kevin Hart', 'Nicole Kidman']"
replicas,"['Science Fiction', 'Thriller', 'Drama']",['Jeffrey Nachmanoff '],['Keanu Reeves']
after darkness,"['Drama', 'Family', 'Thriller', 'Science Fiction']",['n Silva '],"['Natalia Dyer', 'Kyra Sedgwick', 'Tim Daly']"
glass,"['Thriller', 'Drama', 'Science Fiction']",[' Night Shyamalan '],"['James McAvoy', 'Bruce Willis', 'Samuel L. Jackson']"
close,['Drama'],['Vicky Jewson '],"['Noomi Rapace', 'Sophie Nélisse', 'Indira Varma']"
the standoff at sparrow creek,"['Crime', 'Drama', 'Thriller']",['Henry Dunham '],"['James Badge Dale', 'Brian Geraghty']"
the final wish,['Horror'],[' '],"['Lin Shaye', 'Michael Welch', 'Melissa Bolona']"
the kid who would be king,"['Action', 'Adventure', 'Fantasy', 'Family']",['Joe Cornish '],"['Louis Ashbourne Serkis', 'Dean Chaumoo', 'Tom Taylor']"
serenity,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['Steven Knight '],"['Matthew McConaughey', 'Anne Hathaway', 'Jason Clarke']"
i am mother,"['Science Fiction', 'Thriller']",['Grant Sputore '],"['Grant Sputore (director)', 'Michael Lloyd Green (screenplay/story)', 'Clara Rugaard']"
the vast of night,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",['Andrew Patterson '],"['Sierra McCormick', 'Jake Horowitz']"
miss bala,['Action'],['Catherine Hardwicke '],"['Gina Rodriguez', 'Ismael Cruz Córdova', 'Anthony Mackie']"
velvet buzzsaw,"['Thriller', 'Mystery', 'Horror']",['Dan Gilroy '],"['Jake Gyllenhaal', 'Rene Russo', 'Toni Collette']"
o.g,['Drama'],['Madeleine Sackler '],"['Jeffrey Wright', 'William Fichtner', 'Boyd Holbrook']"
the lego movie 2: the second part,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",['Mike Mitchell '],"['Chris Pratt', 'Elizabeth Banks', 'Tiffany Haddish']"
what men want,"['Comedy', 'Romance']",['Adam Shankman '],"['Taraji P. Henson', 'Tracy Morgan', 'Max Greenfield']"
cold pursuit,"['Action', 'Crime', 'Thriller', 'Comedy']",['Hans Petter Moland '],"['Liam Neeson', 'Tom Bateman', 'Tom Jackson']"
high flying bird,['Drama'],['Steven Soderbergh '],"['André Holland', 'Zazie Beetz', 'Melvin Gregg']"
the prodigy,"['Horror', 'Thriller']",['Nicholas McCarthy '],"['Taylor Schilling', 'Peter Mooney', 'Colm Feore']"
isn't it romantic,"['Comedy', 'Fantasy', 'Romance']",['Todd Strauss-Schulson '],"['Rebel Wilson', 'Liam Hemsworth', 'Adam DeVine']"
happy death day 2u,"['Comedy', 'Horror', 'Science Fiction']",['Christopher Landon '],"['Jessica Rothe', 'Israel Broussard', 'Phi Vu']"
alita: battle angel,"['Action', 'Science Fiction', 'Adventure']",['Robert Rodriguez '],"['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly']"
how to train your dragon: the hidden world,"['Animation', 'Family', 'Adventure']",['Dean DeBlois '],"['Jay Baruchel', 'America Ferrera', 'Cate Blanchett']"
fighting with my family,['Comedy'],['Stephen Merchant '],"['Florence Pugh', 'Lena Headey', 'Nick Frost']"
tyler perry's a madea family funeral,['Comedy'],['Tyler Perry '],"['Tyler Perry', 'Courtney Burrell', 'Patrice Lovely']"
greta,"['Mystery', 'Thriller', 'Horror']",['Neil Jordan '],"['Isabelle Huppert', 'Chloë Grace Moretz', 'Maika Monroe']"
triple frontier,"['Action', 'Thriller', 'Crime', 'Adventure']",[' Chandor '],"['Ben Affleck', 'Oscar Isaac', 'Charlie Hunnam']"
captain marvel,"['Action', 'Adventure', 'Science Fiction']",[' Ryan Fleck '],"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn']"
gloria bell,"['Drama', 'Romance']",['n Lelio '],"['Julianne Moore', 'John Turturro', 'Michael Cera']"
the kid,"['Fantasy', 'Comedy', 'Family']",['Onofrio '],"['Ethan Hawke', 'Dane DeHaan', 'Jake Schur']"
wonder park,"['Comedy', 'Animation', 'Adventure', 'Family', 'Fantasy']",[],"['Brianna Denski', 'Ken Hudson Campbell', 'Matthew Broderick']"
nancy drew and the hidden staircase,"['Crime', 'Family', 'Mystery']",['Katt Shea '],"['Sophia Lillis', 'Zoe Renee', 'Mackenzie Graham']"
captive state,"['Science Fiction', 'Action', 'Adventure', 'Horror', 'Thriller']",['Rupert Wyatt '],"['John Goodman', 'Ashton Sanders', 'Jonathan Majors']"
the aftermath,"['War', 'Drama', 'Romance']",['James Kent '],"['Alexander Skarsgård', 'Keira Knightley', 'Jason Clarke']"
five feet apart,"['Romance', 'Drama']",['Justin Baldoni '],"['Cole Sprouse', 'Haley Lu Richardson']"
the highwaymen,"['Crime', 'Drama', 'Thriller']",['John Lee Hancock '],"['Kevin Costner', 'Woody Harrelson', 'Kathy Bates']"
red 11,"['Thriller', 'Science Fiction']",['Robert Rodriguez '],"['Roby Attal', 'Lauren Hatfield', 'Alejandro Rose Garcia']"
never grow old,['Western'],['Ivan Kavanagh '],"['Emile Hirsch', 'Tim Ahern', 'Déborah François']"
triple threat,"['Thriller', 'Action']",[' Johnson '],"['Tony Jaa', 'Iko Uwais', 'Tiger Chen']"
us,"['Horror', 'Thriller']",['Jordan Peele '],"[""Lupita Nyong'o"", 'Winston Duke', 'Shahadi Wright Joseph']"
hotel mumbai,"['Thriller', 'History', 'Drama', 'Action']",['Anthony Maras '],"['Dev Patel', 'Armie Hammer', 'Nazanin Boniadi']"
the dirt,"['Drama', 'Music', 'History', 'Comedy']",['Jeff Tremaine '],"['Douglas Booth', 'Iwan Rheon', 'Machine Gun Kelly']"
dragged across concrete,"['Crime', 'Action', 'Thriller']",[' Craig Zahler '],"['Mel Gibson', 'Vince Vaughn', 'Michael Jai White']"
dumbo,"['Animation', 'Family']",['Tim Burton '],"['Colin Farrell', 'Michael Keaton', 'Danny DeVito']"
the beach bum,['Comedy'],['Harmony Korine '],"['Matthew McConaughey', 'Zac Efron', 'Jonah Hill']"
unplanned,['Drama'],[' Cary Soloman '],"['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott']"
the grudge,"['Horror', 'Mystery', 'Thriller']",['Nicolas Pesce '],"['Andrea Riseborough', 'Demián Bichir', 'John Cho']"
underwater,"['Horror', 'Science Fiction', 'Action', 'Adventure']",['William Eubank '],"['Kristen Stewart', 'Vincent Cassel', 'Jessica Henwick']"
like a boss,['Comedy'],['Miguel Arteta '],"['Tiffany Haddish', 'Rose Byrne', 'Salma Hayek']"
three christs,['Drama'],['Jon Avnet '],"['Richard Gere', 'Peter Dinklage', 'Walton Goggins']"
inherit the viper,"['Crime', 'Thriller', 'Drama']",['Anthony Jerjen '],"['Josh Hartnett', 'Margarita Levieva', 'Chandler Riggs']"
the sonata,"['Horror', 'Thriller', 'Mystery']",['Andrew Desmond '],"['Freya Tingley', 'Simon Abkarian', 'Rutger Hauer']"
the murder of nicole brown simpson,"['Thriller', 'Drama', 'Crime']",['Daniel Farrands '],"['Mena Suvari', 'Nick Stahl', 'Taryn Manning']"
angels fallen,"['Action', 'Romance', 'Crime']",['Ali Zamani '],"['Nicola Posener', 'Houston Rhines', 'Michael Teh']"
bad boys for life,"['Thriller', 'Action', 'Crime']",['Adil El Arbi and Bilall Fallah '],"['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens']"
dolittle,"['Family', 'Comedy', 'Fantasy', 'Adventure']",['Stephen Gaghan '],"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen']"
a fall from grace,"['Drama', 'Thriller', 'Mystery']",['Tyler Perry '],"['Crystal R. Fox', 'Phylicia Rashad', 'Bresha Webb']"
the gentlemen,"['Action', 'Crime', 'Comedy']",['Guy Ritchie '],"['Matthew McConaughey', 'Charlie Hunnam', 'Henry Golding']"
the turning,"['Horror', 'Thriller']",['Floria Sigismondi '],"['Mackenzie Davis', 'Finn Wolfhard', 'Brooklynn Prince']"
the last full measure,"['Drama', 'Action', 'War']",['Todd Robinson '],"['Sebastian Stan', 'Christopher Plummer', 'William Hurt']"
john henry,"['Drama', 'Thriller']",['Will Forbes '],"['Terry Crews', 'Ludacris', 'Jamila Velazquez']"
the rhythm section,"['Action', 'Thriller']",['Reed Morano '],"['Blake Lively', 'Jude Law', 'Sterling K. Brown']"
gretel & hansel,"['Fantasy', 'Horror', 'Mystery']",['Oz Perkins '],"['Sophia Lillis', 'Sammy Leakey', 'Charles Babalola']"
the assistant,['Drama'],['Kitty Green '],"['Julia Garner', 'Matthew Macfadyen']"
birds of prey,"['Action', 'Crime']",['Cathy Yan '],"['Margot Robbie', 'Mary Elizabeth Winstead', 'Jurnee Smollett-Bell']"
the lodge,"['Horror', 'Drama', 'Mystery', 'Thriller']",[' Severin Fiala '],"['Riley Keough', 'Jaeden Martell', 'Lia McHugh']"
timmy failure: mistakes were made,"['Family', 'Mystery', 'Comedy', 'Fantasy']",['Tom McCarthy '],"['Winslow Fegley', 'Ophelia Lovibond', 'Craig Robinson']"
horse girl,['Drama'],['Jeff Baena '],"['Alison Brie', 'Debby Ryan', 'John Paul Reynolds']"
to all the boys: p.s. i still love you,"['Romance', 'Comedy']",['Michael Fimognari '],"['Lana Condor', 'Noah Centineo', 'Jordan Fisher']"
sonic the hedgehog,"['Action', 'Science Fiction', 'Comedy', 'Family']",['Jeff Fowler '],"['James Marsden', 'Ben Schwartz', 'Tika Sumpter']"
fantasy island,"['Adventure', 'Fantasy', 'Horror', 'Mystery']",['Jeff Wadlow '],"['Michael Peña', 'Maggie Q', 'Lucy Hale']"
the photograph,"['Drama', 'Romance']",['Stella Meghie '],"['Issa Rae', 'Lakeith Stanfield', 'Chelsea Peretti']"
downhill,"['Drama', 'Comedy']",[' Jim Rash '],"['Julia Louis-Dreyfus', 'Will Ferrell', 'Miranda Otto']"
spy intervention,"['Action', 'Adventure', 'Comedy']",['Drew Mylrea '],"['Drew Van Acker', 'Poppy Delevingne', 'Natasha Bassett']"
the kindness of strangers,['Drama'],['Lone Scherfig '],"['Andrea Riseborough', 'Tahar Rahim', 'Zoe Kazan']"
the call of the wild,"['Adventure', 'Family', 'Drama']",['Chris Sanders '],"['Harrison Ford', 'Omar Sy', 'Cara Gee']"
emma,"['Comedy', 'Drama', 'Romance', 'TV Movie']",['Autumn de Wilde '],"['Anya Taylor-Joy', 'Johnny Flynn', ""Josh O'Connor""]"
the last thing he wanted,"['Drama', 'Thriller']",['Dee Rees '],"['Anne Hathaway', 'Ben Affleck', 'Rosie Perez']"
brahms: the boy ii,"['Horror', 'Mystery', 'Thriller']",['William Brent Bell '],"['Katie Holmes', 'Owain Yeoman', 'Christopher Convery']"
the night clerk,"['Thriller', 'Crime', 'Drama']",['Michael Cristofer '],"['Tye Sheridan', 'Ana de Armas', 'Helen Hunt']"
impractical jokers: the movie,['Comedy'],['Chris Henchy '],"['Brian Quinn', 'Joe Gatto', 'Sal Vulcano']"
the invisible man,"['Thriller', 'Science Fiction', 'Horror']",['Leigh Whannell '],"['Elisabeth Moss', 'Aldis Hodge', 'Storm Reid']"
all the bright places,"['Romance', 'Drama']",['Brett Haley '],"['Elle Fanning', 'Justice Smith', 'Alexandra Shipp']"
wendy,"['Fantasy', 'Drama']",['Benh Zeitlin '],"['Tommie Lynn Milazzo', 'Shay Walker']"
guns akimbo,"['Action', 'Comedy']",['Jason Lei Howden '],"['Daniel Radcliffe', 'Samara Weaving', 'Natasha Liu Bordizzo']"
onward,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",['Dan Scanlon '],"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus']"
the way back,"['Drama', 'Adventure', 'History']",['Connor '],"['Ben Affleck', 'Al Madrigal', 'Michaela Watkins']"
spenser confidential,"['Comedy', 'Action', 'Thriller']",['Peter Berg '],"['Mark Wahlberg', 'Winston Duke', 'Alan Arkin']"
the banker,['Drama'],['George Nolfi '],"['Anthony Mackie', 'Nicholas Hoult', 'Nia Long']"
the burnt orange heresy,"['Mystery', 'Thriller', 'Crime']",['Giuseppe Capotondi '],"['Claes Bang', 'Elizabeth Debicki', 'Mick Jagger']"
swallow,"['Drama', 'History', 'Thriller', 'Crime']",['Carlo Mirabella-Davis '],"['Haley Bennett', 'Austin Stowell', 'Elizabeth Marvel']"
first cow,"['Drama', 'Western']",['Kelly Reichardt '],"['John Magaro', 'Orion Hall', 'René Auberjonois']"
bloodshot,"['Action', 'Science Fiction', 'Adventure']",[' Wilson '],"['Vin Diesel', 'Eiza González', 'Sam Heughan']"
the hunt,"['Action', 'Thriller', 'Horror']",['Craig Zobel '],"['Betty Gilpin', 'Ike Barinholtz', 'Amy Madigan']"
i still believe,"['Music', 'Drama', 'Romance']",['Erwin Brothers '],"['KJ Apa', 'Britt Robertson', 'Shania Twain']"
lost girls,"['Drama', 'Mystery', 'Thriller', 'History']",['Liz Garbus '],"['Amy Ryan', 'Thomasin McKenzie', 'Lola Kirke']"
stargirl,"['Comedy', 'Drama', 'Romance', 'Family']",['Julia Hart '],"['Grace VanderWaal', 'Graham Verchere', 'Giancarlo Esposito']"
the roads not taken,['Drama'],['Sally Potter '],"['Javier Bardem', 'Elle Fanning', 'Laura Linney']"
never rarely sometimes always,['Drama'],['Eliza Hittman '],"['Sidney Flanigan', 'Talia Ryder', 'Theodore Pellerin']"
big time adolescence,['Comedy'],['Jason Orley '],"['Pete Davidson', 'Griffin Gluck', 'Jon Cryer']"
lost transmissions,['Drama'],['Brien '],"['Simon Pegg', 'Juno Temple', 'Alexandra Daddario']"
resistance,"['War', 'Drama', 'Thriller']",['Jonathan Jakubowicz '],"['Jesse Eisenberg', 'Ed Harris', 'Clémence Poésy']"
uncorked,"['Drama', 'Comedy']",['Prentice Penny '],"['Mamoudou Athie', 'Courtney B. Vance', 'Niecy Nash']"
vivarium,"['Science Fiction', 'Thriller', 'Mystery', 'Horror']",['Lorcan Finnegan '],"['Imogen Poots', 'Jesse Eisenberg']"
shadow in the cloud,"['Horror', 'Action', 'War']",['Roseanne Liang '],"['Chloë Grace Moretz', 'Taylor John Smith', 'Beulah Koale']"
hacksaw,"['Adventure', 'Family', 'TV Movie', 'Western']",['Anthony Leone '],"['Amy Cay', 'Brian Patrick Butler', 'Michael C. Burgess']"
dr. bird's advice for sad poets,"['Comedy', 'Drama']",['Yaniv Raz '],"['Lucas Jade Zumann', 'Taylor Russell', 'Chase Stokes']"
the white tiger,['Drama'],['Ramin Bahrani '],"['Adarsh Gourav', 'Rajkummar Rao', 'Priyanka Chopra Jonas']"
locked down,"['Comedy', 'Crime', 'Romance']",['Doug Liman '],"['Anne Hathaway', 'Chiwetel Ejiofor', 'Stephen Merchant']"
the dig,"['Drama', 'History']",['Simon Stone '],"['Carey Mulligan', 'Ralph Fiennes', 'Lily James']"
outside the wire,"['Thriller', 'Action', 'Science Fiction']",['m '],"['Anthony Mackie', 'Damson Idris', 'Emily Beecham']"
the marksman,"['Action', 'Drama', 'Thriller']",['Robert Lorenz '],"['Liam Neeson', 'Katheryn Winnick', 'Juan Pablo Raba']"
the ultimate playlist of noise,"['Drama', 'Music']",['Bennett Lasseter '],"['Keean Johnson', 'Madeline Brewer', 'Rya Kihlstedt']"
american skin,"['Crime', 'Drama']",['Nate Parker '],"['Nate Parker', 'Omari Hardwick', 'Theo Rossi']"
don't tell a soul,['Crime'],['Alex McAulay '],"['Jack Dylan Grazer', 'Fionn Whitehead', 'Rainn Wilson']"
our friend,"['Drama', 'Romance']",['Gabriela Cowperthwaite '],"['Jason Segel', 'Dakota Johnson', 'Casey Affleck']"
no man's land,"['Action', 'Drama', 'Crime']",['Conor Allyn '],"['Jake Allyn', 'Frank Grillo', 'Jorge A. Jiménez']"
born a champion,"['Action', 'Drama']",['Alex Ranarivelo '],"['Sean Patrick Flanery', 'Dennis Quaid', 'Katrina Bowden']"
wrong turn,"['Horror', 'Thriller']",[' Nelson '],"['Charlotte Vega', 'Adain Bradley', 'Bill Sage']"
penguin bloom,['Drama'],['Glenda Ivin '],"['Naomi Watts', 'Andrew Lincoln', 'Jacki Weaver']"
the little things,"['Drama', 'Crime', 'Thriller']",['John Lee Hancock '],"['Denzel Washington', 'Rami Malek', 'Jared Leto']"
finding ʻohana,"['Adventure', 'Action', 'Comedy', 'Family']",['Jude Weng '],"['Kea Peahu', 'Alex Aiono', 'Lindsay Watson']"
nomadland,['Drama'],[' Zhao '],"['Frances McDormand', 'David Strathairn', 'Linda May']"
malcolm & marie,"['Drama', 'Romance']",['Sam Levinson '],"['Zendaya', 'John David Washington']"
palmer,['Drama'],['Fisher Stevens '],"['Justin Timberlake', 'Juno Temple', 'Alisha Wainwright']"
falling,['Drama'],['Viggo Mortensen '],"['Viggo Mortensen', 'Lance Henriksen', 'Terry Chen']"
bliss,"['Drama', 'Romance']",['Mike Cahill '],"['Owen Wilson', 'Salma Hayek']"
little fish,"['Drama', 'Crime']",['Chad Hartigan '],"['Olivia Cooke', ""Jack O'Connell"", 'Raúl Castillo']"
son of the south,"['History', 'Drama']",['Barry Alexander Brown '],"['Lucas Till', 'Lucy Hale', 'Cedric the Entertainer']"
pvt chat,['Drama'],['Ben Hozie '],"['Julia Fox', 'Nikki Belfiglio', 'Austin Brown']"
music,"['Music', 'Drama']",['Sia '],"['Kate Hudson', 'Leslie Odom Jr.', 'Maddie Ziegler']"
judas and the black messiah,"['Drama', 'History']",['Shaka King '],"['Daniel Kaluuya', 'Lakeith Stanfield', 'Jesse Plemons']"
the mauritanian,"['Drama', 'Thriller']",['Kevin Macdonald '],"['Jodie Foster', 'Tahar Rahim', 'Shailene Woodley']"
breaking news in yuba county,"['Comedy', 'Drama', 'Crime']",['Tate Taylor '],"['Allison Janney', 'Mila Kunis', 'Awkwafina']"
barb and star go to vista del mar,['Comedy'],['Josh Greenbaum '],"['Kristen Wiig', 'Annie Mumolo', 'Jamie Dornan']"
minari,['Drama'],['Lee Isaac Chung '],"['Steven Yeun', 'Han Ye-ri', 'Alan Kim']"
to all the boys: always and forever,"['Romance', 'Comedy', 'Drama']",['Michael Fimognari '],"['Lana Condor', 'Noah Centineo', 'Jordan Fisher']"
the world to come,"['Romance', 'Drama', 'Western']",['Mona Fastvold '],"['Katherine Waterston', 'Vanessa Kirby', 'Christopher Abbott']"
french exit,"['Comedy', 'Drama']",['Azazel Jacobs '],"['Michelle Pfeiffer', 'Lucas Hedges', 'Tracy Letts']"
land,['Drama'],['Robin Wright '],"['Robin Wright', 'Demián Bichir', 'Kim Dickens']"
willy's wonderland,"['Action', 'Horror', 'Comedy']",['Kevin Lewis '],"['Nicolas Cage', 'Emily Tosta', 'Ric Reitz']"
the map of tiny perfect things,"['Fantasy', 'Romance']",['Ian Samuels '],"['Kathryn Newton', 'Kyle Allen', 'Al Madrigal']"
fear of rain,"['Thriller', 'Horror', 'Drama']",['Castille Landon '],"['Katherine Heigl', 'Madison Iseman', 'Israel Broussard']"
i care a lot,"['Comedy', 'Crime', 'Thriller', 'Drama']",['J Blakeson '],"['Rosamund Pike', 'Peter Dinklage', 'Eiza González']"
