Title,genres,director,actors
things will be different,"['Horror', 'Science Fiction', 'Thriller']",['Michael Felker '],"['Adam David Thompson', 'Riley Dandy', 'Chloe Skoczen']"
the forest hills,"['Horror', 'Thriller', 'Drama']",['Scott Goldberg '],"['Chiko Mendez', 'Shelley Duvall', 'Edward Furlong']"
the problem with people,['Comedy'],['Chris Cottam '],"['Paul Reiser', 'Colm Meaney', 'Jane Levy']"
little bites,['Horror'],['Spider One '],"['Krsy Fox', 'Elizabeth Phoenix Caro', 'Jon Sklaroff']"
hellboy: the crooked man,"['Fantasy', 'Horror', 'Action']",['Brian Taylor '],"['Jack Kesy', 'Jefferson White', 'Adeline Rudolph']"
brothers,"['Action', 'Comedy', 'Crime']",['Max Barbakow '],"['Josh Brolin', 'Peter Dinklage', 'Glenn Close']"
terrifier 3,"['Horror', 'Thriller']",['Damien Leone '],"['Lauren LaVera', 'Elliot Fullam', 'Samantha Scaffidi']"
piece by piece,"['Animation', 'Music', 'Documentary']",['Morgan Neville '],"['Pharrell Williams', 'Gwen Stefani', 'Kendrick Lamar']"
the apprentice,"['Drama', 'History']",['Ali Abbasi '],"['Sebastian Stan', 'Jeremy Strong', 'Martin Donovan']"
lonely planet,"['Romance', 'Drama']",['Susannah Grant '],"['Laura Dern', 'Liam Hemsworth', 'Diana Silvers']"
the silent hour,"['Crime', 'Thriller', 'Action']",['Brad Anderson '],"['Joel Kinnaman', 'Sandra Mae Frank', 'Mekhi Phifer']"
bad genius,"['Drama', 'Thriller']",[' Lee '],"['Benedict Wong', 'Callina Liang', 'Jabari Banks']"
seven cemeteries,"['Horror', 'Action', 'Fantasy', 'Thriller']",['John Gulager '],"['Danny Trejo', 'Samantha Ashley', 'Efren Ramirez']"
the man in the white van,"['Horror', 'Thriller']",['Warren Skeels '],"['Sean Astin', 'Ali Larter', 'Madison Wolfe']"
9 windows,"['Crime', 'Mystery', 'Horror', 'Thriller']",['Lou Simon '],"['Michael Forsythe', 'Michael Paré']"
smile 2,"['Horror', 'Mystery']",['Parker Finn '],"['Naomi Scott', 'Rosemarie DeWitt', 'Lukas Gage']"
anora,"['Drama', 'Romance', 'Comedy']",['Sean Baker '],"['Mikey Madison', 'Mark Eydelshteyn', 'Yura Borisov']"
goodrich,"['Drama', 'Comedy']",['Hallie Meyers-Shyer '],"['Michael Keaton', 'Mila Kunis', 'Andie MacDowell']"
woman of the hour,"['Crime', 'Drama', 'Thriller']",['Anna Kendrick '],"['Anna Kendrick', 'Daniel Zovatto', 'Nicolette Robinson']"
the line,['Drama'],['Ethan Berger '],"['Alex Wolff', 'Lewis Pullman', 'Halle Bailey']"
exhibiting forgiveness,['Drama'],['Titus Kaphar '],"['André Holland', 'Andra Day', 'John Earl Jelks']"
high tide,['Drama'],['Marco Calvani '],"['Marco Pigossi', 'James Bland', 'Marisa Tomei']"
to fall in love,"['Documentary', 'Romance']",['Michael Lewis Foster '],"['Beth Gallagher', 'Eric Casalini', 'Reese Lily Buell']"
canary black,"['Thriller', 'Crime', 'Action']",['Pierre Morel '],"['Kate Beckinsale', 'Rupert Friend', 'Ray Stevenson']"
venom: the last dance,"['Action', 'Science Fiction', 'Adventure']",['Kelly Marcel '],"['Tom Hardy', 'Chiwetel Ejiofor', 'Juno Temple']"
conclave,"['Drama', 'Thriller', 'Mystery']",['Edward Berger '],"['Ralph Fiennes', 'Stanley Tucci', 'John Lithgow']"
your monster,"['Horror', 'Romance', 'Comedy']",['Caroline Lindy '],"['Melissa Barrera', 'Tommy Dewey', 'Edmund Donovan']"
don't move,"['Horror', 'Thriller']",[' Brian Netto '],"['Kelsey Asbille', 'Finn Wittrock', 'Moray Treadwell']"
magpie,"['Thriller', 'Drama']",['Sam Yates '],"['Daisy Ridley', 'Shazad Latif', 'Matilda Lutz']"
la cocina,['Drama'],['Alonso Ruizpalacios '],"['Raúl Briones Carmona', 'Rooney Mara', 'Anna Diaz']"
hangdog,"['Comedy', 'Drama']",['Matt Cascella '],"['Desmin Borges', ""Kelly O'Sullivan"", 'Barbara Rosenblat']"
let's start a cult,['Comedy'],['Ben Kitnick '],"['Stavros Halkias', 'Wes Haney', 'Eric Rahill']"
amityville: where the echo lives,"['Horror', 'Mystery']",['Carlos Ayala '],"['Sarah McDonald', 'Breanna Rossi', 'Adela Perez']"
time cut,"['Horror', 'Science Fiction', 'Thriller']",['Hannah Macpherson '],"['Madison Bailey', 'Antonia Gentry', 'Griffin Gluck']"
here,['Drama'],['Robert Zemeckis '],"['Tom Hanks', 'Robin Wright', 'Paul Bettany']"
juror no. 2,"['Drama', 'Thriller', 'Crime']",['Clint Eastwood '],"['Nicholas Hoult', 'Toni Collette', 'J. K. Simmons']"
